64,19-36.scl,19-36,19,"""19 out of 36-tET, Tomasz Liese, Tuning List, 1997"""
65,19-50.scl,19-50,19,"""19 out of 50-tET, meantone Gb-B#"""
66,19-53.scl,19-53,19,"""19 out of 53-tET, Larry H. Hanson (1978)"""
67,19-55.scl,19-55,19,"""19 out of 55-tET, meantone Gb-B#"""
68,19-any.scl,19-any,19,"""Two out of 1/7 1/5 1/3 1 3 5 7 CPS"""
69,20-31.scl,20-31,20,"""20 out of 31-tET"""
70,20-55.scl,20-55,20,"""20 out of 55-tET, J. Chesnut: Mozart's teaching of intonation, JAMS 30/2 (1977)"""
71,21-any.scl,21-any,21,"""2)7 1.3.5.7.9.11.13 21-any, 1.3 tonic"""
72,22-100.scl,22-100,22,"""MODMOS with 10 and 12-note chains of fifths by Gene Ward Smith, similar to Pajara"""
73,22-100a.scl,22-100a,22,"""Alternative version with 600 cents period"""
74,22-41.scl,22-41,22,"""22 out of 41 by Stephen Soderberg, TL 17-11-98"""
75,22-46.scl,22-46,22,"""22 shrutis out of 46-tET by Graham Breed"""
76,22-53.scl,22-53,22,"""22 shrutis out of 53-tET"""
77,24-41.scl,24-41,24,"""24 out of 41-tET, g=neutral third, 22 neutral triads, Op de Coul (2001), Hemififths-24"""
78,24-60.scl,24-60,24,"""12 and 15-tET mixed. Novaro (1951)"""
79,24-80.scl,24-80,24,"""Regular 705-cent temperament, 24 of 80-tET"""
80,24-94.scl,24-94,24,"""24 tone schismic temperament in 94-tET, Gene Ward Smith (2002)"""
81,28-any.scl,28-any,26,"""6)8 1.3.5.7.9.11.13.15 28-any, only 26 tones"""
82,30-29-min3.scl,30-29-min3,9,"""30/29 x 29/28 x 28/27 plus 6/5"""
83,31-171.scl,31-171,31,"""Tertiaseptal-31 in 171-tET, g=11\171"""
84,46_72.scl,46 72,46,"""46 note subset of 72-tET containing the 17-limit otonalities and utonalities by Rick Tagawa"""
85,53-commas.scl,53-commas,53,"""so-called 1/9 comma division of Turkish Music by equal division of 9/8 into 9 equal string lengths"""
86,56-any.scl,56-any,48,"""3)8 1.3.5.7.9.11.13.15 56-any, 1.3.5 tonic, only 48 notes"""
87,67-135.scl,67-135,67,"""67 out of 135-tET by Ozan Yarman, g=17.7777"""
88,70-any.scl,70-any,70,"""4)8 1.3.5.7.11.13.17.19 70-any, tonic 1.3.5.7"""
89,79-159.scl,79-159,79,"""79 out of 159-tET MOS by Ozan Yarman, 79-tone Tuning & Theory For Turkish Maqam Music"""
90,79-159beats.scl,79-159beats,79,"""79 MOS 159tET Splendid Beat Rates Based on Simple Frequencies, C=262 hz"""
91,79-159first.scl,79-159first,79,"""79 MOS 159-tET original pure fourths version"""
92,79-159ji.scl,79-159ji,79,"""79 MOS 159-tET Just Intonation Ratios"""
93,79-159_arel-ezgi-uzdilek.scl,79-159 arel-ezgi-uzdilek,24,"""Arel-Ezgi-Uzdilek style of 11 fifths up, 12 down from tone of origin in 79 MOS 159-tET"""
94,79-159_equidistant5ths.scl,79-159 equidistant5ths,79,"""79 MOS 159-tET equi-distant fifths from pure 3:2 version."""
95,79-159_splendidbeating.scl,79-159 splendidbeating,79,"""79 MOS 159-tET Splendid Beat Rates Based on Simple Frequencies, C=262 hz"""
96,80-159.scl,80-159,80,"""80 out of 159-tET MOS by Ozan Yarman, 79-tone Tuning & Theory For Turkish Maqam Music"""
97,80-159beats.scl,80-159beats,80,"""80 MOS 159tET Splendid Beat Rates Based on Simple Frequencies, C=262 hz"""
98,80-159_splendidbeating.scl,80-159 splendidbeating,80,"""80 MOS 159-tET Splendid Beat Rates Based on Simple Frequencies, C=262 hz"""
99,abell1.scl,abell1,12,"""Ross Abell's French Baroque Meantone 1, a'=520 Hz"""
100,abell2.scl,abell2,12,"""Ross Abell's French Baroque Meantone 2, a'=520 Hz"""
101,abell3.scl,abell3,12,"""Ross Abell's French Baroque Meantone 3, a'=520 Hz"""
102,abell4.scl,abell4,12,"""Ross Abell's French Baroque Meantone 4, a'=520 Hz"""
103,abell5.scl,abell5,12,"""Ross Abell's French Baroque Meantone 5, a'=520 Hz"""
104,abell6.scl,abell6,12,"""Ross Abell's French Baroque Meantone 6, a'=520 Hz"""
105,abell7.scl,abell7,12,"""Ross Abell's French Baroque Meantone 7, a'=520 Hz"""
106,abell8.scl,abell8,12,"""Ross Abell's French Baroque Meantone 8, a'=520 Hz"""
107,abell9.scl,abell9,12,"""Ross Abell's French Baroque Meantone 9, a'=520 Hz"""
108,ad-dik.scl,ad-dik,24,"""Amin Ad-Dik, 24-tone Egyptian tuning, d'Erlanger vol.5, p. 42"""
109,aeolic.scl,aeolic,7,"""Ancient Greek Aeolic, also tritriadic scale of the 54:64:81 triad"""
110,aeu-41 ratios.scl,aeu-41 ratios,41,"""AEU extended to quasi-cyclic 41-tones in simple ratios"""
111,aeu-41.scl,aeu-41,41,"""AEU extended to 41-quasi equal tones by Ozan Yarman"""
112,agricola.scl,agricola,12,"""Agricola's Monochord, Rudimenta musices (1539)"""
113,agricola_p.scl,agricola p,12,"""Agricola's Pythagorean-type Monochord, Musica instrumentalis deudsch (1545)"""
114,akea46_13.scl,akea46 13,46,"""Tridecimal Akea[46] hobbit minimax tuning. Commas 325/324, 352/351, 385/384"""
115,al-din.scl,al-din,35,"""Safi al-Din's complete lute tuning on 5 strings 4/3 apart"""
116,al-din_19.scl,al-din 19,19,"""Pythagorean Arabic scale by Safi al-Din"""
117,al-farabi.scl,al-farabi,7,"""Al-Farabi Syn Chrom"""
118,al-farabi_19.scl,al-farabi 19,19,"""Arabic scale by Al Farabi"""
119,al-farabi_22.scl,al-farabi 22,22,"""Al-Farabi 22 note ud scale"""
120,al-farabi_9.scl,al-farabi 9,9,"""Al-Farabi 9 note ud scale"""
121,al-farabi_blue.scl,al-farabi blue,7,"""Another tuning from Al Farabi, c700 AD"""
122,al-farabi_chrom.scl,al-farabi chrom,7,"""Al Farabi's Chromatic c700 AD"""
123,al-farabi_chrom2.scl,al-farabi chrom2,7,"""Al-Farabi's Chromatic permuted"""
124,al-farabi_diat.scl,al-farabi diat,7,"""Al-Farabi's Diatonic"""
125,AL-FARABI_DIAT2.scl,AL-FARABI DIAT2,7,"""Old Phrygian, permuted form of Al-Farabi's reduplicated 10/9 diatonic genus, same as ptolemy_diat.scl"""
126,al-farabi_div.scl,al-farabi div,10,"""Al Farabi's 10 intervals for the division of the tetrachord"""
127,al-farabi_div2.scl,al-farabi div2,12,"""Al-Farabi's tetrachord division, incl. extra 2187/2048 & 19683/16384"""
128,al-farabi_divo.scl,al-farabi divo,24,"""Al Farabi's theoretical octave division with identical tetrachords, 10th c."""
129,AL-FARABI_dor.scl,AL-FARABI dor,7,"""Dorian mode of Al-Farabi's 10/9 Diatonic"""
130,AL-FARABI_DOR2.scl,AL-FARABI DOR2,7,"""Dorian mode of Al-Farabi's Diatonic"""
131,al-farabi_g1.scl,al-farabi g1,7,"""Al-Farabi's Greek genus conjunctum medium, Land"""
132,al-farabi_g10.scl,al-farabi g10,7,"""Al-Farabi's Greek genus chromaticum forte"""
133,al-farabi_g11.scl,al-farabi g11,7,"""Al-Farabi's Greek genus chromaticum mollissimum"""
134,al-farabi_g12.scl,al-farabi g12,7,"""Al-Farabi's Greek genus mollissimum ordinantium"""
135,al-farabi_g3.scl,al-farabi g3,7,"""Al-Farabi's Greek genus conjunctum primum"""
136,al-farabi_g4.scl,al-farabi g4,7,"""Al-Farabi's Greek genus forte duplicatum primum"""
137,al-farabi_g5.scl,al-farabi g5,7,"""Al-Farabi's Greek genus conjunctum tertium, or forte aequatum"""
138,al-farabi_g6.scl,al-farabi g6,7,"""Al-Farabi's Greek genus forte disjunctum primum"""
139,al-farabi_g7.scl,al-farabi g7,7,"""Al-Farabi's Greek genus non continuum acre"""
140,al-farabi_g8.scl,al-farabi g8,7,"""Al-Farabi's Greek genus non continuum mediocre"""
141,al-farabi_g9.scl,al-farabi g9,7,"""Al-Farabi's Greek genus non continuum laxum"""
142,Al-Hwarizmi.scl,Al-Hwarizmi,6,"""Al-Hwarizmi's tetrachord division"""
143,al-kindi.scl,al-kindi,6,"""Al-Kindi's tetrachord division"""
144,al-kindi2.scl,al-kindi2,14,"""Arabic mode by al-Kindi"""
145,al-mausili.scl,al-mausili,11,"""Arabic mode by Ishaq al-Mausili,  ? - 850 AD"""
146,alembert.scl,alembert,12,"""Jean-Le Rond d'Alembert modified meantone (1752)"""
147,alembert2.scl,alembert2,12,"""d'Alembert (?)"""
148,alves.scl,alves,13,"""Bill Alves, tuning for ""Instantaneous Motion"", 1/1 vol. 6/3"""
149,alves_12.scl,alves 12,12,"""Bill Alves, tuning for ""Metalloid"", TL 12-12-2007"""
150,alves_22.scl,alves 22,22,"""11-limit rational interpretation of 22-tET, Bill Alves, TL 9-1-98"""
151,amity.scl,amity,39,"""Amity temperament, g=339.508826, 5-limit"""
152,amity53pure.scl,amity53pure,53,"""Amity[53] in pure-fifths tuning"""
153,ammerbach.scl,ammerbach,12,"""Elias Mikolaus Ammerbach (1571), from Ratte: Temperierungspraktiken im s�ddeutschen Orgelbau p. 412"""
154,ammerbach1.scl,ammerbach1,12,"""Elias Mikolaus Ammerbach (1571, 1583) interpretation 1, Ratte, 1991"""
155,ammerbach2.scl,ammerbach2,12,"""Elias Mikolaus Ammerbach (1571, 1583) interpretation 2, Ratte, 1991"""
156,angklung.scl,angklung,8,"""Scale of an anklung set from Tasikmalaya. 1/1=174 Hz"""
157,ankara.scl,ankara,34,"""Ankara Turkish State Radio Tanbur Frets"""
