68,80.54,22 / 21,11,,Superparticular,,"Hard semitone,[5] two-fifth tone small semitone"
69,84.47,21 / 20,7,,Superparticular,,"Septimal chromatic semitone, minor semitone[3]"
70,88.8,20 / 19,19,,Superparticular,, Novendecimal augmented unison
71,90.22,256 / 243,3,,,,"Pythagorean minor second or limma,[3][6][10]Pythagorean diatonic semitone, Low Semitone[13]"
72,92.18,135 / 128,5,,,,"Greater chromatic semitone, chromatic semitone, semitone medius, major chroma or major limma,[3] small limma,[10] major chromatic semitone,[12] limma ascendant[5]"
73,93.6,19 / 18,19,,Superparticular,,Novendecimal minor second  
74,97.36,128 / 121,11,,,,121st subharmonic[5][6]
75,98.95,18 / 17,17,,Superparticular,,"Just minor semitone, Arabic lute index finger[3]"
76,100,2 to the power of 1/12,0,Meantone,,12, Equal-tempered minor second or semitone
77,104.96,17 / 16,17,,Superparticular,,"Minor diatonic semitone, just major semitone, overtone semitone,[5] 17th harmonic,[3]limma[citation needed]"
78,111.45,(5/1) to the power of 1/25,0,,,25,"Studie II interval (compound just major third, 5:1, divided into 25 equal parts)"
79,111.73,16 / 15,5,,Superparticular,,"Just minor second,[14] just diatonic semitone, large just semitone or major second,[4] major semitone,[5] limma, minor diatonic semitone,[3] diatonic second[15] semitone,[13]diatonic semitone,[10] 1/6-comma meantone minor second"
80,113.69,2187 / 2048,3,,,,"apotome[3][10] or Pythagorean major semitone,[6] Pythagorean augmented unison, Pythagorean chromatic semitone, or Pythagorean apotome"
81,116.72,(18/ 5) to the power of 1/19,0,,,10.28, Secor
82,119.44,15 / 14,7,,Superparticular,,"Septimal diatonic semitone, major diatonic semitone,[3] Cowell semitone[5]"
83,125,2 to the power of 5/48,0,,,48,5 steps in 48 equal temperament
84,128.3,14 / 13,13,,Superparticular,,Lesser tridecimal 2/3-tone[16]
85,130.23,69 / 64,23,,,,Sixty-ninth harmonic[5]
86,133.24,27 / 25,5,,,,"Semitone maximus, minor second, large limma or Bohlen-Pierce small semitone,[3]high semitone,[13] alternate Renaissance half-step,[5] large limma, acute minor second[citation needed]"
87,133.33,2 to the power of 1/9,0,,,"9, 18, 36, 72", Two-third tone
88,138.57,13 / 12,13,,Superparticular,,"Greater tridecimal 2/3-tone,[16] Three-quarter tone[5]"
89,150,2 to the power of 3/24,0,,,"8, 24", Equal-tempered neutral second
90,150.64,12 / 11,11,,Superparticular,,"3/4-tone or Undecimal neutral second,[3][5]trumpet three-quarter tone,[10] middle finger [between frets][13]"
91,155.14,35 / 32,7,,,,Thirty-fifth harmonic[5]
92,160.9,800 / 729,5,,,,"Grave whole tone,[3] neutral second, grave major second[citation needed]"
93,165,11 / 10,11,,Superparticular,,"Greater undecimal minor/major/neutral second, 4/5-tone[6] or Ptolemy's second[3]"
94,171.43,2 to the power of 1/7,0,,,7,1 step in 7 equal temperament
95,175,2 to the power of 7/48,0,,,48,7 steps in 48 equal temperament
96,179.7,71 / 64,71,,,,Seventy-first harmonic[5]
97,180.45,65536 / 59049,3,,,,"Pythagorean diminished third,[3][6]Pythagorean minor tone"
